Empresa;Activos;Ingresos;Utilidad Neta
No encontrado;No encontrado;No encontrado;No encontrado
Infinito i&i sas;8.717.432;729.520;250.441
No encontrado;8.717.432;729.520;250.441
Distribuidora almar sas;7.511.513;39.343.166;455.982
No encontrado;7.511.513;39.343.166;455.982
Donuts de antioquia sas;8.420.529;19.711.843;1.761.868
No encontrado;8.420.529;19.711.843;1.761.868
Tierra habitat s.a.s.;5.067.050;667.099;79.181
No encontrado;5.067.050;667.099;79.181
Acme leon plasticos sas;16.334.785;33.532.733;2.843.438
No encontrado;16.334.785;33.532.733;2.843.438
Ci flores carmelsas;57.341.064;20.804.925;3.736.101
No encontrado;57.341.064;20.804.925;3.736.101
Laboratorio de cosmeticos marbelline s.a.s.;6.434.724;12.063.875;651.933
No encontrado;6.434.724;12.063.875;651.933
Hidro construcciones sas;3.785.625;6.607.480;385.762
No encontrado;3.785.625;6.607.480;385.762
Kuehne+ nagel s.a.s;266.222.932;1.485.375.515;25.962.016
No encontrado;266.222.932;1.485.375.515;25.962.016
Pavimentar sa;167.745.248;123.112.930;2.002.974
No encontrado;167.745.248;123.112.930;2.002.974
No encontrado;No encontrado;No encontrado;No encontrado
Bodega ilusion sas;6.495.103;9.240.551;209.341
No encontrado;6.495.103;9.240.551;209.341
Surtitractomulas ltda.;5.800.571;5.988.553;370.299
No encontrado;5.800.571;5.988.553;370.299
Estructuras especiales sa;2.397.022.000;0;0
No encontrado;2.397.022.000;0;0
Sociedad educaional saint andrews sas;51.680.368;40.794.033;621.067
No encontrado;51.680.368;40.794.033;621.067
Hg&cia sas;45.594.794;606.635;10.720.540
No encontrado;45.594.794;606.635;10.720.540
"La actividad ganadera en todas sus etapas, formas y modalidades; b. el desarrollo de la actividad agrícola, pecuaria y forestal en todas sus etapas, formas y modalidades el desarrollo de la actividad agricola pecuaria y forestal, entodas sus etapas, formas y modalidades, inverision en bienes inmuebles urbanos y/o rurales y la construccion, adquisicion, administracion, arrendamiento gravamen o enagenación de los mismos. la inversion de fondos propios en bienes inmuebles, bonos, valores bursatiles, y partes de intereses en sociedades comerciales, asi como la negoiacion de toda clase de derechos de credito.";113.394.483;3.956.415;70.049
No encontrado;113.394.483;3.956.415;70.049
Foster ingenieria ltda;14.462.949;0;0
No encontrado;14.462.949;0;0
Constructora carpol ltda;13.619.829;0;68.152
No encontrado;13.619.829;0;68.152
Distribuidora penguin random house sas;45.197.433;96.547.820;3.035.025
No encontrado;45.197.433;96.547.820;3.035.025
Provimi s.a;82.636.672;114.530.947;5.411.227
No encontrado;82.636.672;114.530.947;5.411.227
No encontrado;No encontrado;No encontrado;No encontrado
Sociedad comercializadora mercurio sas;21.047.786;2.646.075;1.009.630
No encontrado;21.047.786;2.646.075;1.009.630
Jorge uscategui y asociados ltda.;1.037.632;216.753;6.597
No encontrado;1.037.632;216.753;6.597
Automotores reina sas;6.601.877;8.991.024;399.632
No encontrado;6.601.877;8.991.024;399.632
Cañon y cañon auditores sas;1.219.730;1.806.439;82.062
No encontrado;1.219.730;1.806.439;82.062
Troquelado maquinado pintura tmp sas;4.851.801;1.439.398;52.923
No encontrado;4.851.801;1.439.398;52.923
Construcciones y fincas sociedad por acciones simplificada;21.431.892;5.311.458;330.921
No encontrado;21.431.892;5.311.458;330.921
Artimfer sas;9.173.790;244.824;25.742
No encontrado;9.173.790;244.824;25.742
Jarris s.a.s;5.242.234;26.611.616;340.801
No encontrado;5.242.234;26.611.616;340.801
Palmas oleaginosas de santander sas;54.410.642;35.288.616;5.422.477
No encontrado;54.410.642;35.288.616;5.422.477
Industrial de empaques flexibles sas;11.567.786;18.287.221;101.745
No encontrado;11.567.786;18.287.221;101.745
No encontrado;No encontrado;No encontrado;No encontrado
Amcor rigid packaging de colombia s.a.s.;236.768.814;261.097.753;17.212.514
No encontrado;236.768.814;261.097.753;17.212.514
Ferreteria tornillos y abrasivos sas;14.864.699;17.392.823;591.659
No encontrado;14.864.699;17.392.823;591.659
Lhaura vet sas;62.601.610;54.654.509;8.171.738
No encontrado;62.601.610;54.654.509;8.171.738
Yokomotor s.a;294.559.596;946.998.964;30.373.157
No encontrado;294.559.596;946.998.964;30.373.157
Vicpar s.a;51.069.489;74.804.777;5.157.833
No encontrado;51.069.489;74.804.777;5.157.833
Memphis products s.a. en reorganizacion;55.851.091;51.014.926;2.546.483
No encontrado;55.851.091;51.014.926;2.546.483
Productos quimicos andinos sas;168.155.029;195.745.675;24.895.061
No encontrado;168.155.029;195.745.675;24.895.061
Aluace sas;6.250.248;11.941.664;624.489
No encontrado;6.250.248;11.941.664;624.489
Pixbae sas;10.128.568;870.000;392.249
No encontrado;10.128.568;870.000;392.249
Gadier sistemas profesionales de informaicon ltda;2.837.686;3.287.783;30.055
No encontrado;2.837.686;3.287.783;30.055
No encontrado;No encontrado;No encontrado;No encontrado
Megaequipos s.a.s;13.988.015;417.003;191.812
No encontrado;13.988.015;417.003;191.812
Inver press sas;2.625.004;836.314;240.069
No encontrado;2.625.004;836.314;240.069
Arus s.a.;122.023.544;221.842.283;4.635.241
No encontrado;122.023.544;221.842.283;4.635.241
